,地    区,合    计,0岁,1-4岁,5-9岁,10-14岁,15-19岁,20-24岁,25-29岁,30-34岁,35-39岁,40-44岁,45-49岁,50-54岁,55-59岁,60-64岁,65-69岁,70-74岁,75-79岁,80-84岁,85-89岁,90-94岁,95-99岁,100岁及以上
0,全    国,138657945,1072023,6314720,8801032,8208580,7788415,7303273,8893917,12398651,9915280,9246332,11286279,11926180,9980162,7212331,7261013,4813647,2980508,1897750,973818,312846,63626,7562
1,北    京,2090903,12595,78754,87673,59879,58182,121999,172444,238038,210916,155841,153789,153949,158842,139906,120793,66649,40749,33622,19118,5995,1076,94
2,天    津,1221778,6695,43749,58471,51930,54964,68243,76106,120143,107811,83997,86252,89915,96757,90790,81120,48170,26995,17100,9027,2969,520,54
3,河    北,7372048,55702,343540,546708,513599,444472,285623,402913,687232,569685,457119,497997,598403,528002,438091,426412,279626,147772,88800,44212,13393,2510,237
4,山    西,3440439,26062,144732,191073,191272,183328,185549,242953,296327,255028,227563,301452,294573,259412,208308,179593,115276,66878,43304,21121,5665,899,71
5,内 蒙 古,2339123,15765,87441,118258,112075,98564,97296,136463,202841,191689,175028,225953,222310,196935,158381,129607,76221,46100,31282,13187,3171,504,52
6,辽    宁,4078397,19038,111754,158461,155866,166964,167606,205830,332362,292705,304069,342562,378904,388783,342612,305565,179915,108135,69483,34022,11369,2202,190
7,吉    林,2199788,9862,60013,90429,101909,100008,89092,111784,183268,151769,166475,199156,224039,203515,165319,152228,92305,49992,30627,13257,3999,663,79
8,黑 龙 江,2935686,10234,62007,99920,125623,135386,126893,142357,230556,216873,230815,299174,300687,278514,226519,196745,120153,65962,42965,17967,5305,931,100
9,上    海,2415605,10105,69288,88256,64006,68741,146179,213183,268050,226885,181814,172282,171221,166430,172481,162232,99824,54180,36660,29569,11243,2692,284
10,江    苏,8197063,49430,306701,450678,410582,366950,386256,540218,785415,569193,540255,623047,772111,628098,464269,494473,341219,218624,140311,76940,26244,5473,576
11,浙    江,6467791,40999,242542,295411,256288,286245,370072,493561,640418,524128,496128,575686,586614,483086,345068,318048,222904,124053,88439,56248,18167,3384,302
12,安    徽,6038744,54066,302488,415735,389361,341702,288976,398194,484759,356881,380291,487925,569957,453365,227274,323268,235261,161932,96384,50832,16136,3501,456
13,福    建,3933085,34322,200428,280203,229244,193175,188905,262576,376811,318678,289939,342457,322147,258866,194573,174944,109417,68910,49069,26770,9455,1960,236
14,江    西,4810312,39905,232666,361962,389608,372020,286742,270765,368221,299721,352296,395195,377324,302886,232071,207541,142265,83967,57549,27285,8343,1796,184
15,山    东,10099105,79983,553662,638464,595024,577337,449553,433113,921422,701347,638938,771745,901941,767910,579379,597699,392422,235088,147254,82426,28193,5563,642
16,河    南,9725229,81850,504403,807824,798447,696801,487340,535596,857929,573118,557152,689758,785385,642147,445600,511833,336991,203284,118725,64779,20784,4776,707
17,湖    北,6092610,43223,257495,351683,322173,324923,276122,409393,562432,418299,392068,482692,565732,504846,347394,333362,229049,137895,80337,40357,10658,2233,244
18,湖    南,6978116,49748,309575,476139,468501,475822,333945,341283,599012,474574,421595,555834,636531,529640,342962,368046,260234,153660,109289,52174,16249,3023,280
19,广    东,11946820,104910,595049,777365,642896,642437,904315,1144614,1293437,1080545,869403,937933,849404,661011,449631,391285,246356,153705,109944,63675,22810,5422,673
20,广    西,4618519,51183,280877,408132,360578,302802,205687,228705,345655,337664,313253,335253,348816,305316,215082,211110,144782,102016,68443,36596,12821,3128,620
21,海    南,927418,8824,48462,68095,62366,52720,53136,73253,84214,79133,64834,66715,68223,61285,40228,35625,23040,14192,12509,7045,2667,713,139
22,重    庆,3293962,21988,129415,172448,185100,196358,193122,218616,255695,186878,164425,322002,311170,243673,156057,209492,140115,95272,54617,26533,9089,1706,191
23,四    川,8866931,60817,356610,484911,497943,505721,506593,581211,700650,491750,512893,861042,851387,637567,413314,541196,368798,250844,146688,67770,23943,4691,592
24,贵    州,3646503,48097,235928,308195,285132,251646,227496,221678,258156,216389,234298,288221,278922,217003,144662,160262,115598,78926,49179,20231,5491,857,136
25,云    南,4822267,49193,256048,313396,304109,330499,323122,329405,397029,341064,369346,413667,387227,316131,196142,190712,128136,87668,54826,25530,7558,1321,138
26,西    藏,329292,4389,22596,28059,24166,23059,23315,30125,33532,28481,23549,23259,20395,15840,9582,7353,5361,3461,1766,713,208,67,16
27,陕    西,3682045,29249,169565,227879,193064,184074,180869,252232,350824,270509,232206,297551,308030,271231,222982,198145,128651,85600,51411,21743,5205,935,90
28,甘    肃,2372848,24605,128925,161252,147999,128532,116031,150240,185727,147188,138961,212701,238822,181142,108538,116007,83240,56826,31716,11685,2251,408,52
29,青    海,569733,5776,29875,41508,38861,35643,34208,42603,47485,39752,44751,51788,50850,37021,20245,19148,13257,9204,5274,1955,454,65,10
30,宁    夏,710449,7695,40230,49471,48299,42149,41891,52835,63015,54072,54611,59221,57097,43587,27915,27825,17924,12062,7073,2716,644,105,12
31,新    疆,2435336,15713,109902,242973,182680,147191,137097,179668,227996,182555,172419,213970,204094,141321,86956,69344,50488,36556,23104,8335,2367,502,105
