,Unnamed: 0,地区,男,女,男占比,女占比
0,0,全    国,721416394,688362330,51.17,48.83
1,1,北    京,11195390,10697705,51.14,48.86
2,2,天    津,7144949,6721060,51.53,48.47
3,3,河    北,37679003,36931232,50.5,49.5
4,4,山    西,17805148,17110468,50.99,49.01
5,5,内 蒙 古,12275274,11773881,51.04,48.96
6,6,辽    宁,21263529,21327878,49.92,50.08
7,7,吉    林,12018319,12055134,49.92,50.08
8,8,黑 龙 江,15952468,15897620,50.09,49.91
9,9,上    海,12875211,11995684,51.77,48.23
10,10,江    苏,43031586,41716430,50.78,49.22
11,11,浙    江,33680008,30887580,52.16,47.84
12,12,安    徽,31103394,29923777,50.97,49.03
13,13,福    建,21466757,20073329,51.68,48.32
14,14,江    西,23318533,21870102,51.6,48.4
15,15,山    东,51432931,50094522,50.66,49.34
16,16,河    南,49832349,49533170,50.15,49.85
17,17,湖    北,29694718,28057839,51.42,48.58
18,18,湖    南,33995673,32449191,51.16,48.84
19,19,广    东,66873646,59138864,53.07,46.93
20,20,广    西,25916169,24210635,51.7,48.3
21,21,海    南,5345081,4736151,53.02,46.98
22,22,重    庆,16202133,15852026,50.55,49.45
23,23,四    川,42289718,41385148,50.54,49.46
24,24,贵    州,19705293,18856855,51.1,48.9
25,25,云    南,24420924,22788353,51.73,48.27
26,26,西    藏,1913588,1734512,52.45,47.55
27,27,陕    西,20226490,19302509,51.17,48.83
28,28,甘    肃,12700948,12318883,50.76,49.24
29,29,青    海,3033846,2890111,51.21,48.79
30,30,宁    夏,3668938,3533716,50.94,49.06
31,31,新    疆,13354380,12497965,51.66,48.34
